Title,Description,Link
Customer Service Personnel - Lekki Phase 2 at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/customer-service-personnel-lekki-phase-2-melonypine-fruithub
No Title Found,No Description Found,No Link Found
Production Assistant - Abuja at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/production-assistant-abuja-melonypine-fruithub
Head of Account at a Foremost Microfinance Bank,This company is looking to recruit qualified applicants for Head of Account role,/job/head-of-account-3
Procurement Officer - Abuja at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/procurement-officer-abuja-melonypine-fruithub
Business Development Executive at Sigma Consulting Group,Sigma Consult is a key player in business consulting and advisory services within Nigeria with focus on the healthcare industry. We bridge gaps between inputs and outputs thereby increasing the produc...,/job/business-development-executive-sigma-consult-16
Telco Account Manager at a Reputable Company,This company is looking to recruit qualified applicants for Telco Account Manager role,/job/telco-account-manager-10
Cleaner at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/cleaner-melonypine-fruithub-1
No Title Found,No Description Found,No Link Found
Inventory Assistant - Abuja at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/inventory-assistant-abuja-melonypine-fruithub
Experienced Facility Personnel at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/experienced-facility-personnel-melonypine-fruithub-1
Quality Control Personnel - Abuja at MelonyPine,"We make excellent parfait, yoghurt and fruit meals available to satisfy your cravings promptly. This vision is very dear to us and this is why we ensure that we deliver products that are excellent thr...",/job/quality-control-personnel-abuja-melonypine-fruithub
Graduate Internship Openings at Seplat Energy Plc,"Seplat is a leading independent oil and natural gas producer in the Niger Delta area in Nigeria.
The Company’s focus is on maximising hydrocarbon production and recovery from its existing asset...",/jobs/internship-openings-at-seplat-energy-plc
Sales Executive (Life Planner) at Enterprise Life,"Enterprise Group was created to deliver sustained growth by taking advantage of the profitable business opportunities in sectors of the economy, other than insurance, such as Pensions, Real Estate etc...",/job/sales-executive-life-planner-enterprise-life-6
Laundryman/Housekeeper at Rekopel Resources Ltd,We are a fast growing hospitality outfit providing our guest with unique and exemplar hospitality services over the past few years.,/job/laundryman-housekeeper-rekopel-resources-ltd
No Title Found,No Description Found,No Link Found
Communications Specialist at Cutting Edge Partners,"Cutting Edge Partners is a global financial advisory firm that promotes, enhances and works in the best interest of our clients. We are passionate about ensuring the financial wellbeing of all our sta...",/job/communications-specialist-cutting-edge-partners-1
Field Operator II at Nautilus Nigeria Engineering and Construction Limited,"NNEC makes available to the oil and gas industry, worldwide experience and reputation in Engineering and Project Support Services. Specifically, for Engineering - Conceptual Design, Front End Engineer...",/job/field-operator-ii-nautilus-nigeria-engineering-and-construction-limited-3
Office Driver II at Borno Women Development Initiative (BOWDI),"Borno Women Development Initiative (BOWDI) is a women-led, registered Nongovernmental, Non-profit Organization with its head office in Borno State, Nigeria. BOWDI has been active in Humanitarian and d...",/job/office-driver-ii-borno-women-development-initiative-bowdi
Professional Graphic Designer/Social Media Manager at Atusbulk Ltd,We Offers A Comprehensive Suite Of Digital Marketing Services That Cover All Aspects Of Our Online Presence.,/job/professional-graphic-designer-social-media-manager-atusbulk-ltd
Consultancy to Develop Resource Mobilization and Sustainability Strategy at Civil Society-Scaling up Nutrition in Nigeria,"The Civil Society Scaling-Up Nutrition in Nigeria (CS-SUNN) is a non-governmental, non-profit making coalition, made up of organizations with a shared vision to transform Nigeria into a country where...",/job/consultancy-to-develop-resource-mobilization-and-sustainability-strategy-civil-society-scaling-up-nutrition-in-nigeria-cs-sunn
Warehouse Storekeeper at Ascentech Services Limited,Ascentech Services Ltd acts as a gateway to provide a wide range of recruitment and selection services to companies. We are a dedicated team of professional consultants offering top-of-the-line executive recruitment and selection services. We cater for the needs of a range of professionals seeking employment and work together to create effective solutions using our networks and strong client base.,/job/warehouse-storekeeper-ascentech-services-limited
No Title Found,No Description Found,No Link Found
Field Support Officer at Kayhelt Pharma,"Kayhelt Pharma is a fast growing pharmaceutical company based in Nigeria. Kayhelt Pharma has shown tremendous growth over a very short time. It has interest in pharmaceuticals, surgicals and consumabl...",/job/field-support-officer-kayhelt-pharma-1
Software Developer at Compovine Technologies,"The Board of Directors consists of the Chairman, Managing Director/Chief Executive Officer, three Executive Directors, one Non-Executive Director, Heads of Departments and the Company Secretary. At th...",/job/software-developer-compovine-technologies-3
Digital Marketing Executive at Recare,"Recare is a personal style company. Founded in 1997, our origin is plant-based chemistry. Recare has been using plant-based chemistry to help Africans live beautifully. We provide solutions in ha...",/job/digital-marketing-executive-recare-3
Front Desk Officer at Elizabeth Maddeux,Elizabeth Maddeux Limited was established to address the human resource challenges faced by small and medium-scale enterprises. Our goal is to facilitate organizational growth by providing comprehensi...,/job/front-desk-officer-elizabeth-maddeux-1
Plant / Process Operator III - Operations (Gen) at ABNL Limited,"ABNL Ltd. was incorporated in 1992, as an Oil and Gas servicing company, with a vision to provide professional engineering and technical services to the Oil and Gas exploration and production companie...",/job/plant-process-operator-iii-operations-gen-abnl-limited
Senior Architect at Architrave Nigeria Limited,Architrave is a design and build company dedicated to the development of the environment and has since been actively involved in the construction industry; providing Total Quality Service in the following areas: Architecture Building Construction Roads and Infrastructure Refurbishment and Renovation works Total Interior Space Planning Project Management.,/job/senior-architect-architrave-nigeria-limited
No Title Found,No Description Found,No Link Found
Marketing Executives at Fundbox Financial Services Limited,"Fundbox Financial Services Limited is a micro lending company providing short-term loans to salaried individuals, self-employed personnel and SMEs. The Company is a subsidiary of Pathway Holdings Limi...",/job/marketing-executives-fundbox-financial-services-limited-1
Production Manager at Viju Industries Nigeria Limited,"Viju Industry Nigeria Limited, a leading firm in the beverage production industry",/job/production-manager-viju-industries-nigeria-limited-3
Job Vacancies at Klasha,"Klasha was founded in 2018 in Lagos, Nigeria by a team of ex-Amazon, Shopify, Net-a-Porter and ASOS employees. It was founded to make consumer goods online more accessible to customers across Africa. At Klasha, we believe that consumers in Africa should have the same frictionless access to the goods they want regardless of their geographic location. So, we've built a couple of cool products to facilitate this.",/jobs/head-legal-compliance-at-klasha
Job Roles at Kodai Construction,"We at Kodai construction turn visionary ideas into reality.
As a leading force in the construction industry, our team of dedicated engineers and developers brings years of experience and innovation t...",/jobs/job-roles-at-kodai-construction
Jobs at FITC,"FITC was established in 1981 as a non profit organisation that is limited by guarantee, based on the Company’s Act of 1968 and in response to the recommendations of the Pius Okigbo Committee set...",/jobs/jobs-at-fitc-4
Deputy Accountant at iRecruiters Africa Limited,"iRecruiters Africa is a fast-growing recruitment firm, offering world-class virtual recruitment & job posting services.
Mission
To be Africa’s trusted high quality talent providers, creati...",/job/deputy-accountant-irecruiters-africa-limited
Job Openings at OneHealth,"OneHealth is a Mobile-First Pharmacy & Healthcare platform that is providing access to medicines and healthcare solutions accessible to all Nigerians. Using properly curated and analyzed data, we are able to follow our patient's journey, end-to-end, in ensuring long-term survival.",/jobs/job-openings-at-onehealth
Social Media Manager at Kraks Media,"Kraks Media is a multifaceted media powerhouse, orchestrating connections between emerging and established brands. Anchored by a dynamic comedy channel and enriched by an informative platform, our rob...",/job/social-media-manager-kraks-media
Sales and Marketing Manager at African Naturalistas,"Nigeria's foremost natural hair brand; achieving your goal of healthy hair naturally through our blog, store and hair clinic.",/job/sales-and-marketing-manager-african-naturalistas-2
Business Development Manager at NimbleByte Global,NimbleByte Global is a dynamic technology firm specializing in providing top-notch staff augmentation and consultancy services to meet the diverse technology needs of businesses across various industr...,/job/business-development-manager-nimblebyte-global
